Araci_CM,Araci_NoPT,Araci_SM,Araci_WWM,BERT_CM,BERT_NoPT,BERT_SM,BERT_WWM,SECBERT_CM,SECBERT_NoPT,SECBERT_SM,SECBERT_WWM,Yang_CM,Yang_NoPT,Yang_SM,Yang_WWM
49.47862502776349,28.83775174110765,52.55450383124749,35.48083289730891,47.65242536853266,49.154719122686416,42.11021213806109,49.862115864153076,53.654454691931754,50.83955424404509,53.45003753705778,45.56649882668184,55.04914227465512,42.590463048321084,51.432959636172924,43.649993904922255
59.76569888457357,44.393805605639244,65.34389980168606,40.293207432642916,63.08833569495521,62.535150880992205,56.339520961315316,51.496000257083885,62.35098210696719,64.92569501722147,68.53745330853458,60.37614555567935,67.57246031472313,62.327327214193204,66.55252740132289,59.98146297970778
76.82686798273312,50.56239310777595,79.37986518747768,59.83323107953099,73.01576523309843,75.5764348745542,76.9831130349732,58.93536730765282,78.93605255304224,76.06635555144334,75.22793579051938,68.3315754975475,77.28442881270344,74.16327693669744,79.03333689193893,68.03832549678755
79.24837863099489,61.427588258348976,79.31970431537047,67.49520062858365,79.1247871599249,78.50897594778543,78.37460957592593,65.91308987114253,80.51839879722189,77.19007012834125,76.83541769027504,75.8906137034077,80.12250276891614,79.07287550128426,80.80763708924486,74.42599608012263
76.70493795055229,64.66512369520767,77.92938853037812,70.64452489881742,78.49726757106804,76.60494653323894,79.25697703089068,68.60083978729647,80.34401860578265,77.4264707803795,78.82350736231552,76.87366151192204,79.69183858775459,79.43247019881446,79.01826452329507,75.21999200070194
68.40490169532346,49.977332481615896,70.90547233323196,54.749399387376776,68.27571620551585,68.47604547185144,66.61288654823325,58.961482617465755,71.16078135098914,69.28962914428612,70.57487033774046,65.40769901904768,71.94407455175049,67.51728257986208,71.36894510839493,64.26315409244843
58.219625115343234,30.293242431461454,69.26464152110036,43.143906501919446,54.029441656933955,57.78927077526104,46.98800674804338,54.175003681126846,62.527535757206785,60.62232172809179,65.68944214423931,51.65151647181588,63.57050640913504,47.047136790724274,60.93698267323864,55.964902220581315
66.19183439910134,45.022383339904145,75.52535227924068,49.416620672026106,69.04628092068191,65.589539660211,67.76289451450779,54.614035289946905,74.09829148221576,68.58076139889766,73.74815140687248,62.455985248723536,70.67220307011543,63.691804602550285,70.72473349001494,65.0412659038172
79.21837228230399,51.52918632179,81.58532756163348,61.53629713735621,75.12832891711851,77.20354576554804,78.61964043823335,61.46276229148887,80.7638629142293,77.75641236421592,77.06636993072846,73.36702251426408,79.25217067246619,75.16464259689127,81.358818581718,69.94229210417441
82.52114562933939,64.31502694981648,81.71728610418518,75.00055586136948,82.45074889785286,80.93598331506217,81.4306315031812,73.01153156547267,82.62116981576399,78.57752260756018,78.67524247666466,77.6850741650454,82.61299569550953,81.85431881846768,83.23439599099031,75.7412438603699
78.07488897767726,65.90058259519311,79.76450812068646,76.91689753775417,81.16073231390392,80.16501941441273,82.14970159768711,73.9982757961339,82.49279843438032,79.86415613586433,79.6901498172828,79.59737520834325,81.57167146345415,81.98155059506108,81.57915188198446,77.53524748059559
72.84517328075303,51.412084327633046,77.57142311736924,61.20285554208508,72.36310654129822,72.336671786099,71.39017496033057,63.45232172483384,76.50073168075923,73.08023484692598,74.97387115515754,68.95139472163842,75.53590946213606,69.94789068073892,75.56681652358927,68.84499031390769
54.080000000000005,28.25333333333333,59.13999999999999,39.85333333333333,51.89999999999999,54.49999999999999,49.84,51.59999999999999,59.440000000000005,56.08,59.21999999999999,51.22000000000001,58.879999999999995,46.9,56.73999999999999,51.519999999999996
62.39999999999999,44.79333333333333,68.84,44.67333333333333,65.02000000000001,63.62,60.35999999999999,53.54,65.99999999999999,66.08,69.82000000000001,61.57999999999999,68.5,63.1,67.78,61.86000000000001
77.18,50.74666666666666,79.67999999999999,62.1,73.42,75.86,77.24,61.08,79.18,76.34,75.58,69.92,77.62,74.34,79.33999999999999,68.80000000000001
79.67999999999999,62.153333333333336,79.64,70.1,79.58000000000001,78.86,78.8,68.38,80.78,77.4,77.10000000000001,76.18,80.44,79.48,81.1,74.68
76.94,64.88,78.17999999999999,72.44,78.88000000000001,77.16000000000001,79.66,70.12,80.62000000000002,77.8,78.94,77.34,79.94,79.80000000000001,79.38000000000001,75.7
70.056,50.16533333333333,73.09599999999999,57.83333333333333,69.76,70.0,69.17999999999999,60.943999999999996,73.204,70.74,72.132,67.248,73.076,68.724,72.86799999999998,66.512
